Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR15734443_1	SRR15734443_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123506205.0	0.0	151.0	45.0	87.2541994830018	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
SRR15734443_2	SRR15734443_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	123506205.0	0.0	151.0	45.0	87.41173262308185	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
SRR15734444_1	SRR15734444_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121916124.0	0.0	151.0	44.0	88.00519527673299	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
SRR15734444_2	SRR15734444_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	121916124.0	0.0	151.0	45.0	87.98106633155327	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
SRR15734445_1	SRR15734445_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113134932.0	0.0	151.0	45.0	86.96953071643357	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
SRR15734445_2	SRR15734445_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	113134932.0	0.0	151.0	45.0	87.21120237559961	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
SRR17407396_1	SRR17407396_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	373611542.0	0.0	151.0	46.0	79.91920267842865	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn
SRR17407396_2	SRR17407396_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	373611542.0	0.0	151.0	46.0	80.29080577428202	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn
SRR17408317_1	SRR17408317_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124537200.0	0.0	151.0	46.0	90.1437969328802	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn
SRR17408317_2	SRR17408317_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124537200.0	0.0	151.0	46.0	90.08334621178015	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn
SRR17408318_1	SRR17408318_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124537142.0	0.0	151.0	46.0	89.92778564662484	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn
SRR17408318_2	SRR17408318_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	124537142.0	0.0	151.0	46.0	89.9572456575198	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	warn	warn
SRR17619844_1	SRR17619844_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	458647372.0	0.0	151.0	44.0	80.5223031100315	151.0	151	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
SRR17619844_2	SRR17619844_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	458647372.0	0.0	151.0	44.0	80.77615655412386	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail
SRR17619845_1	SRR17619845_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	373164734.0	0.0	151.0	45.0	78.90085024005666	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	pass	fail
SRR17619845_2	SRR17619845_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	373164734.0	0.0	151.0	45.0	79.75914695475403	151.0	151	pass	pass	pass	warn	warn	pass	pass	pass	pass	fail
