Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
SRR15734430	204724764.0	0.0	204724764.0	1.0	102362382.0	102362382.0	204052467.0	203754526.0	672297.0	184873618.0	204724764.0	16655863.0	12304434.0	0.0	0.0	4436156.0	30529277115.0	15282415642.0	15246861473.0	30437239487.0	30048574278.0	0.0	2463378373.0	329735296.0	0.01097341	149.0	149.0	149.0	151.0	151.0	151.0	36.3	352.5	80.9	92149382.0	500315.0	44753.0	9182813.0	90.3	99.67160934179901	99.5260768746081	0.32839065820097857	90.30349547746945	100.0	8.13573437554433	6.010232352740678	0.0
SRR15734431	196912766.0	0.0	196912766.0	1.0	98456383.0	98456383.0	196244071.0	195951180.0	668695.0	176893286.0	196912766.0	15674811.0	12298532.0	0.0	0.0	4876342.0	29314564533.0	14690531041.0	14624033492.0	29223227121.0	28818313589.0	0.0	2297508053.0	332760234.0	0.01154683	148.0	149.0	149.0	151.0	151.0	151.0	36.2	348.8	82.7	88021007.0	634975.0	47190.0	9272418.0	89.8	99.66041053935528	99.51166904028965	0.3395894606447202	89.83332548383379	100.0	7.96028176253438	6.245675305784898	0.0
SRR15734432	221365488.0	0.0	221365488.0	1.0	110682744.0	110682744.0	220597886.0	220281868.0	767602.0	198548580.0	221365488.0	18750052.0	14032051.0	0.0	0.0	5945517.0	32959552231.0	16496611050.0	16462941181.0	32853943922.0	32364398442.0	0.0	2742956541.0	388383206.0	0.01200032	148.0	149.0	149.0	151.0	151.0	151.0	36.3	348.1	87.3	98620102.0	901932.0	54790.0	10564110.0	89.7	99.65324224343408	99.51048376610541	0.3467577565659196	89.69265344559943	100.0	8.470178513102278	6.338861186889259	0.0
SRR15734433	218041390.0	0.0	218041390.0	1.0	109020695.0	109020695.0	214464305.0	214150984.0	3577085.0	195852830.0	218041390.0	17322851.0	12337436.0	0.0	0.0	3980877.0	32521318730.0	16277163631.0	16244155099.0	31991572662.0	31614198513.0	0.0	2558401682.0	318872986.0	0.01008639	149.0	149.0	149.0	151.0	151.0	151.0	36.3	356.9	82.9	97580432.0	552006.0	48377.0	8894677.0	89.8	98.35944680044463	98.21574885392172	1.6405531995553688	89.82369356570328	100.0	7.9447535167520265	5.658300013589163	0.0
SRR15734434	215112880.0	0.0	215112880.0	1.0	107556440.0	107556440.0	210503207.0	210170498.0	4609673.0	189627152.0	215112880.0	17415399.0	13165126.0	0.0	0.0	5253689.0	32051098249.0	16045764548.0	16005333701.0	31366978251.0	30921590594.0	0.0	2556392164.0	352060846.0	0.0113856	148.0	149.0	149.0	151.0	151.0	151.0	36.3	354.1	84.0	94384209.0	655552.0	49252.0	9996236.0	88.2	97.85709112350688	97.70242395527409	2.1429088764931232	88.15239329230309	100.0	8.095935027228496	6.1201012231345695	0.0
SRR15734435	248670568.0	0.0	248670568.0	1.0	124335284.0	124335284.0	247803966.0	247428780.0	866602.0	220839012.0	248670568.0	21075063.0	16263786.0	0.0	0.0	7281723.0	37015457231.0	18529141821.0	18486315410.0	36896343945.0	36330795010.0	0.0	3069390291.0	449554928.0	0.01237394	148.0	149.0	149.0	151.0	151.0	151.0	36.3	348.9	82.5	109880764.0	850190.0	59409.0	12924027.0	88.8	99.65150600371814	99.50062928235238	0.34849399628185995	88.80786084825286	100.0	8.475093441697531	6.540293904021645	0.0
SRR15734436	52818154.0	0.0	52818154.0	1.0	26409077.0	26409077.0	52617562.0	52534796.0	200592.0	47714154.0	52818154.0	2873941.0	3138284.0	0.0	0.0	1099375.0	7850804298.0	3933502409.0	3917301889.0	7823332159.0	7723337591.0	0.0	423043456.0	83685988.0	0.01083547	148.0	149.0	148.0	151.0	151.0	151.0	36.0	357.7	84.3	23769020.0	158734.0	11696.0	2327948.0	90.3	99.62022148672595	99.46352157631256	0.37977851327405343	90.33665583995987	100.0	5.4411992513028755	5.941676795444233	0.0
SRR15734437	290000452.0	0.0	290000452.0	1.0	145000226.0	145000226.0	288995910.0	288553484.0	1004542.0	259566490.0	290000452.0	34784375.0	18683397.0	0.0	0.0	7413326.0	43002719667.0	21563702974.0	21439016693.0	42866645290.0	42221608889.0	0.0	5078820061.0	493658005.0	0.01169207	148.0	149.0	148.0	151.0	151.0	151.0	36.2	350.8	84.3	129044790.0	1057848.0	65774.0	14108330.0	89.5	99.65360674679225	99.50104629492095	0.34639325320775705	89.50554670169963	100.0	11.99459337394412	6.442540648178024	0.0
SRR15734438	275524880.0	0.0	275524880.0	1.0	137762440.0	137762440.0	264529063.0	264114508.0	10995817.0	238848910.0	275524880.0	29962328.0	16688940.0	0.0	0.0	6330155.0	40983839298.0	20522353408.0	20461485890.0	39341858812.0	38731235225.0	0.0	4406532257.0	443305377.0	0.01144568	148.0	149.0	149.0	151.0	151.0	151.0	36.3	349.7	86.2	118693302.0	1004387.0	65545.0	12294020.0	86.7	96.0091382672955	95.85867817091508	3.990861732704502	86.68869032807491	100.0	10.874636076422572	6.057144458242755	0.0
SRR15734440	224919862.0	0.0	224919862.0	1.0	112459931.0	112459931.0	224083871.0	223731426.0	835991.0	203280722.0	224919862.0	23873245.0	13593687.0	0.0	0.0	4727291.0	33447996844.0	16755628334.0	16692368510.0	33332974527.0	32887747344.0	0.0	3520994102.0	358189488.0	0.01089128	148.0	149.0	148.0	151.0	151.0	151.0	36.2	355.9	84.6	101225247.0	640478.0	53504.0	9946484.0	90.4	99.6283160621893	99.47161802900271	0.3716839378107034	90.37917780689372	100.0	10.614111527420375	6.043791277090504	0.0
SRR15734441	219909686.0	0.0	219909686.0	1.0	109954843.0	109954843.0	219160140.0	218840114.0	749546.0	198502582.0	219909686.0	25720283.0	13551537.0	0.0	0.0	4964220.0	32677401121.0	16373485129.0	16303915992.0	32575210879.0	32127364544.0	0.0	3788131635.0	357322649.0	0.01112207	148.0	149.0	148.0	151.0	151.0	151.0	36.2	348.4	82.6	98782097.0	695396.0	53310.0	9889254.0	90.3	99.65915735062256	99.51363124587427	0.3408426493774358	90.2655019933956	100.0	11.695839081867454	6.162319289565081	0.0
SRR15734442	294363692.0	0.0	294363692.0	1.0	147181846.0	147181846.0	290389440.0	289891710.0	3974252.0	261125170.0	294363692.0	19348590.0	17834906.0	0.0	0.0	6316644.0	43781194976.0	21922110506.0	21859084470.0	43199982205.0	42619124931.0	0.0	2841124495.0	469371164.0	0.01101316	148.0	149.0	149.0	151.0	151.0	151.0	36.2	379.5	90.1	130165264.0	770193.0	74143.0	13936255.0	88.7	98.64988376351795	98.48079701351212	1.3501162364820456	88.70834858260984	100.0	6.573021920108273	6.058799534284955	0.0
SRR15734443	242071554.0	0.0	242071554.0	1.0	121035777.0	121035777.0	241310197.0	240976758.0	761357.0	220058940.0	242071554.0	28838634.0	14214301.0	0.0	0.0	4778368.0	36024382391.0	18043625135.0	17980757256.0	35920381455.0	35478906170.0	0.0	4259835919.0	364410335.0	0.01027118	148.0	149.0	149.0	151.0	151.0	151.0	36.3	350.2	81.8	109566120.0	691341.0	49642.0	10181276.0	90.9	99.68548266517924	99.54773868225756	0.31451733482076133	90.90656723755323	100.0	11.913268421451948	5.8719418969814186	0.0
SRR15734444	238937058.0	0.0	238937058.0	1.0	119468529.0	119468529.0	238163972.0	237828234.0	773086.0	218605964.0	238937058.0	26645631.0	13262278.0	0.0	0.0	3781004.0	35607676479.0	17831699296.0	17775977183.0	35501261290.0	35117158049.0	0.0	3952168951.0	336126677.0	0.00957158	149.0	149.0	149.0	151.0	151.0	151.0	36.3	356.3	85.0	109104606.0	541181.0	50031.0	9218299.0	91.5	99.67644784510571	99.53593468954489	0.3235521548942818	91.49102522221564	100.0	11.151736454376199	5.55053205685658	0.0
SRR15734445	221244074.0	0.0	221244074.0	1.0	110622037.0	110622037.0	220483068.0	220144178.0	761006.0	197597594.0	221244074.0	25506476.0	14374294.0	0.0	0.0	5800475.0	32811030659.0	16455923511.0	16355107148.0	32708082534.0	32207967201.0	0.0	3742563148.0	380930230.0	0.01182721	148.0	149.0	148.0	151.0	151.0	151.0	36.2	353.7	83.6	98300386.0	743267.0	49301.0	10979135.0	89.3	99.6560332730087	99.50285854888028	0.3439667269912956	89.31203915545328	100.0	11.528659520164142	6.497030062825547	0.0
SRR17407396	730385676.0	0.0	730385676.0	1.0	365192838.0	365192838.0	719453422.0	717798800.0	10932254.0	650229876.0	730385676.0	105874035.0	60425456.0	0.0	0.0	29988705.0	108895010576.0	54554397236.0	54340613340.0	107356790471.0	102776954098.0	0.0	15347991184.0	2807273522.0	0.02731423	149.0	149.0	149.0	151.0	151.0	151.0	36.3	284.5	113.2	306138859.0	19950668.0	150019.0	32659854.0	89.0	98.50322174171444	98.27668088058178	1.4967782582855582	89.02555148137927	100.0	14.495634084696917	8.27308886052141	0.0
SRR17408317	243463730.0	0.0	243463730.0	1.0	121731865.0	121731865.0	239823006.0	239272510.0	3640724.0	216744512.0	243463730.0	13908648.0	20143322.0	0.0	0.0	9996193.0	36298477783.0	18184885020.0	18113592763.0	35786136851.0	34259066819.0	0.0	1998471737.0	935882326.0	0.0273178	149.0	149.0	149.0	151.0	151.0	151.0	36.3	284.5	113.2	102044829.0	6652179.0	50109.0	10889138.0	89.0	98.50461339765066	98.2785033318926	1.4953866023493518	89.02538049507416	100.0	5.712821371791191	8.273643881164558	0.0
SRR17408318	243462938.0	0.0	243462938.0	1.0	121731469.0	121731469.0	239818242.0	239266378.0	3644696.0	216744056.0	243462938.0	13919114.0	20142471.0	0.0	0.0	9997121.0	36298577039.0	18184869703.0	18113707336.0	35785770047.0	34259221563.0	0.0	1999949459.0	935713871.0	0.02731276	149.0	149.0	149.0	151.0	151.0	151.0	36.3	284.5	113.2	102046301.0	6650694.0	49906.0	10886288.0	89.0	98.50297707324964	98.27630437943701	1.497022926750354	89.02548280264325	100.0	5.717138762204537	8.273321255985172	0.0
SRR17619844	880556660.0	0.0	880556660.0	1.0	440278330.0	440278330.0	879216348.0	878612994.0	1340312.0	831494650.0	880556660.0	98377433.0	50912778.0	0.0	0.0	22638443.0	130456907440.0	65104224455.0	65352682985.0	130300851660.0	120813671936.0	0.0	14310349480.0	1175717674.0	0.009731661	148.0	148.0	148.0	151.0	151.0	151.0	35.7	197.7	76.6	344983018.0	71345674.0	143807.0	22833998.0	94.4	99.84778810258503	99.77926849136544	0.15221189741498292	94.42829607353148	100.0	11.172186580247999	5.781885517736019	0.0
SRR17619845	734195394.0	0.0	734195394.0	1.0	367097697.0	367097697.0	732764168.0	732450118.0	1431226.0	699976072.0	734195394.0	136734109.0	51559910.0	0.0	0.0	27187376.0	109332587779.0	54728565643.0	54604022136.0	109142492125.0	101749800003.0	0.0	19737607761.0	1371778722.0	0.01348188	148.0	149.0	149.0	151.0	151.0	151.0	36.3	183.3	62.7	296310067.0	54152238.0	58564.0	15704190.0	95.3	99.80506197509597	99.76228725836981	0.19493802490403528	95.33920775318838	100.0	18.623667502877307	7.022641441414436	0.0
